id,dcode,park_name,area
280,1037,สวนราชเทวีภิรมย์,33675
281,1026,สวนป่าวิภาวดีรังสิต,15229
282,1006,Nulek Park,2917
283,1042,Placemark,5972
284,1028,สวนเฉลิมพระเกียรติ 80 พรรษา,3658
285,1030,Placemark,441
286,1030,สวนวรุณาวัน,36261
287,1030,pocket park,1293
288,1030,สวน สมว,206
289,1039,Placemark,1747
290,1046,Bureerom Park 1,4661
291,1046,Bureerom Park 2,3149
292,1046,สวนสาธารณะประภาทรัพย์ 2,990
293,1046,สวนหย่อมนวมินเบญจม,15027
294,1043,ปัญญาวิลเลจ,8375
295,1010,สวนเฉลิมพระเกียรติ ร.9,7007
296,1046,Placemark,7953
297,1046,Placemark,14366
298,1043,Placemark,4487
299,1043,Placemark,4674
300,1043,Placemark,54551
301,1043,Placemark,15216
302,1043,Placemark,1675
303,1046,Placemark,49187
304,1046,Manorom 4,18097
305,1046,Placemark,3749
306,1042,Placemark,6858
307,1042,Placemark,4016
308,1037,Placemark,428
309,1008,Placemark,185
310,1008,Placemark,760
311,1007,Placemark,877
312,1007,Placemark,206
313,1007,Placemark,768
314,1007,Placemark,3831
315,1043,สวนชมชุนปฐวิกรณ์์,18500
316,1043,สวนชุมชนปฐวิกรณ์,18587
317,1003,บางกอก อารีนา,89780
318,1006,ลานกีฬาพัฒน์,21010
319,1046,Placemark,698
320,1046,Placemark,10483
321,1017,Placemark,263
322,1017,Placemark,179
323,1014,Placemark,1385
324,1017,Placemark,640
325,1017,Placemark,2053
326,1017,Placemark,1319
327,1017,Placemark,853
328,1017,Placemark,983
329,1043,สวนเสนาพาค,37743
330,1005,Placemark,4455
331,1047,Placemark,673
332,1018,สวนลอยฟ้าเจ้าพระยา,6192
333,1033,สวนหย่อม โนเบิล รีมิกซ์,517
334,1046,Mini park,4735
335,1046,L Park,501
336,1046,Pacha Park,5342
337,1046,Mini PARK MPC,7156
338,1006,Placemark,17401
339,1033,สวนป่าเบญจกิติ,473501
340,1049,Placemark,7967
341,1001,Placemark,3852
342,1001,Placemark,2931
343,1006,Placemark,1881
344,1001,สวนสวนสันติพร,2709
345,1032,สวนสาธรณะ หมู่บ้านนันทวันพระรามเก้า-อ่อนนุช,6007
346,1046,Placemark,4238
347,1046,Placemark,4797
348,1046,Placemark,3485
349,1029,ลานเฉลิมพระเกียรติ,2088
350,1046,Placemark,8594
351,1028,สวนสาธารณะคลองช่องนนทรี,3554
352,1019,Placemark,1177
353,1012,Placemark,5120
354,1020,Placemark,536
355,1020,Placemark,394
356,1020,Placemark,481
357,1016,Placemark,8956
358,1020,Placemark,962
359,1010,Placemark,782
360,1013,Placemark,83
361,1013,Placemark,195
362,1013,Placemark,98
363,1013,Placemark,109
364,1013,Placemark,71
365,1030,สวนวิภาภิรมณ์,3747
366,1047,Placemark,1892
367,1022,Placemark,3342
368,1019,Placemark,549
369,1016,Placemark,1093
370,1016,Placemark,1161
371,1016,Placemark,3003
372,1016,Placemark,527
373,1035,สวนริมสะพาน,430
374,1035,Placemark,1508
375,1007,Placemark,3415
376,1019,Placemark,688
377,1022,Placemark,2524
378,1011,Placemark,1712
379,1001,sam phraya park,491
380,1022,Placemark,2856
381,1022,Placemark,619
382,1022,Placemark,6244
383,1032,พัฒนาภิรมย์,40616
384,1032,Setthasiri Pattanakarn Park,3064
385,1032,Park,1619
386,1019,Placemark,6177
387,1022,Placemark,1943
388,1041,Placemark,2045
389,1033,สวนมุมพักใจ,739
390,1007,สวนเพลินจิต,20401
391,1041,สนามกีฬาการประปานครหลวง,22406
392,1036,O2 Park,2706
393,1040,Placemark,6873
394,1040,Placemark,2733
395,1001,อุทกทาน,2981
396,1006,สวนปิยะภิรมย์,17685
397,1030,สวนจากภูผาสู่มหานที,48855
398,1001,Placemark,5356
399,1004,สวนสาธารณะคลองช่องนนทรี (เฟส 2),4220
400,1011,Placemark,2157
401,1017,สวนสุขภาพ รฟม.,73059
402,1033,Placemark,100
403,1033,Placemark,126
404,1007,Placemark,4885
405,1035,Elio ground park,973
406,1018,สวนสานสาธารณะ,3766
407,1018,Placemark,468
408,1018,Placemark,244
409,1007,สวนจามจุรี 10,12452
410,1016,สวนบางกอกใหญ่,3197
411,1039,Placemark,2380
412,1028,Placemark,541
413,1039,สวน Park Thonglor Tower,900
414,1012,Placemark,1627
415,1039,Placemark,3176
416,1004,Placemark,329
417,1032,สวนเฉลิมพัฒน์,4209
418,1013,สวนชุมชนโชฎึก,898
419,1021,ศูนย์เรียนรู้ป่าชายเลนบางขุนเทียน,141868
420,1027,Placemark,1198
421,1027,Placemark,4711
422,1033,สวนเฉลิมพระเกียรติสมเด็จย่า,13899
423,1021,Placemark,1728
424,1039,เดอะ สแตรนด์ ปาร์ค,454
425,1030,Placemark,44
426,1044,Placemark,3484
427,1011,Placemark,23033
428,1039,39 Vadhana Pocket Park,196
429,1022,สวนกัลปพฤกษ์,75490
430,1044,Park Nantawan krungtep kreetha,3689
431,1044,สวนสุขภาพหัวหมาก,22907
432,1006,สวนหย่อมเดชา,2125
433,1011,Placemark,5147
434,1021,สวน City Sense,2207
435,1021,Placemark,5694
436,1021,Placemark,3172
437,1049,Placemark,4499
438,1049,Placemark,6181
439,1049,Placemark,2151
440,1049,Placemark,317
441,1049,Placemark,8399
442,1049,Placemark,15633
443,1049,Placemark,2315
444,1049,Placemark,3402
445,1049,Placemark,2709
446,1049,Placemark,4615
447,1049,Placemark,7485
448,1049,Placemark,882
449,1049,Placemark,5642
450,1049,Placemark,1609
451,1049,Placemark,3654
452,1049,Placemark,2336
453,1021,Placemark,7219
454,1021,Placemark,6105
455,1049,Placemark,1326
456,1049,Placemark,530
457,1049,Placemark,568
458,1049,Placemark,4107
459,1021,Placemark,6531
460,1001,Placemark,2242
461,1049,Placemark,4921
462,1049,Placemark,9367
463,1049,Placemark,1875
464,1049,Placemark,3232
465,1005,Placemark,328
466,1049,Placemark,910
467,1049,Placemark,1559
468,1021,Placemark,267
469,1030,Placemark,235
470,1033,สวนเบญจกิติ,224617
471,1030,Placemark,458
472,1030,Placemark,2743
473,1032,Placemark,488
474,1002,สวนหย่อมคลองบางซื่อ,3998
475,1023,Placemark,12670
476,1021,สวนเทียนทะเลพัฒนาพฤกษาภิรมย์,59739
477,1026,สวนดินแดง 3,7203
478,1026,สวนเคหะดินแดง 2,2766
479,1026,สวนสมเด็จย่า 90,921
480,1007,One Bangkok Park,10701
481,1017,Placemark,11474
482,1019,สวนร่มเกล้าชาวทาง,18333
483,1019,สวน 15 นาทียูเทิร์นเดินใจ,7551
484,1019,สวนน้ำตลิ่งชัน,20284
485,1013,Placemark,262
486,1048,Placemark,6499
487,1030,Placemark,23521
488,1012,สวน 15 นาที,1054
489,1011,Placemark,2321
490,1012,Placemark,51
491,1012,สวนศิลาฤกษ์,17712
492,1043,Placemark,28812
493,1009,Placemark,11730
494,1046,Placemark,1456
495,1046,Placemark,5332
496,1046,Placemark,1473
497,1046,Placemark,1911
498,1046,Placemark,1561
499,1046,Placemark,823
500,1026,สวน 15 นาที @ ดินแดง,2081
501,1026,Placemark,1234
502,1040,สวนบางแคภิรมย์,106620
503,1050,สวนสาธารณะเฉลิมพระเกียรติฯ บางบอน,157194
504,1046,Placemark,14468
505,1002,Placemark,2967
506,1014,สวนสาธารณะกรมประชาสัมพันธ์,19380
507,1014,Placemark,3865
508,1043,Placemark,33338
509,1045,สวนสาธารณะวังทอง 2,1919
510,1045,สวนสุขภาพ,463
511,1012,Placemark,493
512,1041,Placemark,1370
513,1006,Placemark,2725
514,1044,Placemark,79590
515,1034,Placemark,3512
516,1041,สวนเปรมประชาวนารักษ์,23104
517,1029,สวนสาธารณะสะพานพระราม 7,34609
518,1002,Placemark,1055
519,1026,Placemark,381
520,1047,สวนภูติอนันต์,30697
521,1029,สวนหย่อมโรงเรียนโยธินบูรณะ,542
522,1030,สวนเฉลิมพระเกรียติ ร.10,32
