id,dcode,sport_field_name,sport_field_type,area
1003044,1003,ศูนย์อบรมจริยธรรมอิสลาม (ยังเตริก),ชุมชนทั่วไป,200
1003045,1003,ชุมชนแผ่นดินทองนูรุ้ลลอฮ์ ,ชุมชนทั่วไป,900
1003046,1003,ชุมชนกิตติเหมกรณ์ ,ชุมชนทั่วไป,400
1003047,1003,ชุมชนแผ่นดินทองยะมีอุ้ลมุตตะกีน ,ชุมชนทั่วไป,300
1003048,1003,ชุมชนแผ่นดินทองบิดาย่าตุ้ลฮิดายะห์ ,ชุมชนทั่วไป,350
1003049,1003,ชุมชนหมู่ 4 ร่วมพัฒนา,ชุมชนทั่วไป,300
1003050,1003,ชุมชนแผ่นดินทองอัรเราะห์มาน ,ชุมชนทั่วไป,280
1003051,1003,ประชาสำราญ 3,ชุมชนทั่วไป,290
1003052,1003,ชุมชนแผ่นดินทองหมู่ 5 กระทุ่มราย ,ชุมชนทั่วไป,200
1003053,1003,ชุมชนแผ่นดินทองอัลฮาดีย์ ,ชุมชนทั่วไป,120
1003054,1003,ชุมชนแผ่นดินทองเจริญดำริ ,ชุมชนทั่วไป,160
1003055,1003,ชุมชนแผ่นดินทองบ้านกระทุ่มราย ,ชุมชนทั่วไป,200
1003056,1003,ชุมชนร่วมพัฒนาสินอนันต์ ,ชุมชนทั่วไป,750
1003057,1003,ชุมชนแผ่นดินทองนูรุ้ลเอี๊ยะซาน ,ชุมชนทั่วไป,100
1003058,1003,ชุมชนแผ่นดินทองคอยรุตตั๊กวา/โรงเรียนอิสลามลำไทร,โรงเรียนสังกัดกรุงเทพมหานคร,100
1003059,1003,ชุมชนแผ่นดินทองคอยรุดดีน ,ชุมชนทั่วไป,300
1003060,1003,ชุมชนแผ่นดินทองคู้บนพัฒนา ,ชุมชนทั่วไป,310
1003061,1003,ชุมชนแผ่นดินทองดารุ้ลนาอีม ,ชุมชนทั่วไป,350
1003062,1003,ชุมชนแผ่นดินทองบาหยัน 2,ชุมชนทั่วไป,300
1003063,1003,ชุมชนพัฒนาศาลาร่วมใจ ,ชุมชนทั่วไป,400
