dcode,dname,sex,age,population,age_group,age_group_range
1014,เขตพญาไท,male,71,229,70,65 years and older
1014,เขตพญาไท,male,73,229,70,65 years and older
1037,เขตราชเทวี,female,76,229,75,65 years and older
1043,เขตคันนายาว,male,74,228,70,65 years and older
1036,เขตดอนเมือง,female,84,228,80,65 years and older
1049,เขตทุ่งครุ,male,75,228,75,65 years and older
1031,เขตบางคอแหลม,male,75,228,75,65 years and older
1007,เขตปทุมวัน,female,19,228,15,15 to 64 years
1008,เขตป้อมปราบศัตรูพ่าย,female,41,228,40,15 to 64 years
1009,เขตพระโขนง,male,1,228,0,0 to 14 years
1001,เขตพระนคร,female,21,228,20,15 to 64 years
1012,เขตยานนาวา,female,77,228,75,65 years and older
1038,เขตลาดพร้าว,female,0,228,0,0 to 14 years
1038,เขตลาดพร้าว,female,82,228,80,65 years and older
1039,เขตวัฒนา,female,82,228,80,65 years and older
1017,เขตห้วยขวาง,male,74,228,70,65 years and older
1049,เขตทุ่งครุ,female,80,227,80,65 years and older
1016,เขตบางกอกใหญ่,female,81,227,80,65 years and older
1025,เขตบางพลัด,male,2,227,0,0 to 14 years
1004,เขตบางรัก,male,31,227,30,15 to 64 years
