dcode,dname,sex,age,population,age_group,age_group_range
1004,เขตบางรัก,male,26,201,25,15 to 64 years
1007,เขตปทุมวัน,male,68,201,65,65 years and older
1008,เขตป้อมปราบศัตรูพ่าย,female,23,201,20,15 to 64 years
1009,เขตพระโขนง,female,84,201,80,65 years and older
1009,เขตพระโขนง,male,77,201,75,65 years and older
1024,เขตราษฏร์บูรณะ,male,75,201,75,65 years and older
1018,เขตคลองสาน,female,1,200,0,0 to 14 years
1046,เขตคลองสามวา,male,78,200,75,65 years and older
1019,เขตตลิ่งชัน,female,84,200,80,65 years and older
1005,เขตบางเขน,male,82,200,80,65 years and older
1004,เขตบางรัก,female,75,200,75,65 years and older
1027,เขตบึงกุ่ม,male,80,200,80,65 years and older
1007,เขตปทุมวัน,male,13,200,10,0 to 14 years
1001,เขตพระนคร,female,77,200,75,65 years and older
1022,เขตภาษีเจริญ,female,86,200,85,65 years and older
1012,เขตยานนาวา,female,79,200,75,65 years and older
1039,เขตวัฒนา,male,78,200,75,65 years and older
1028,เขตสาทร,female,82,200,80,65 years and older
1030,เขตจตุจักร,female,90,199,90,65 years and older
1007,เขตปทุมวัน,female,12,199,10,0 to 14 years
1007,เขตปทุมวัน,male,6,199,5,0 to 14 years
1008,เขตป้อมปราบศัตรูพ่าย,female,20,199,20,15 to 64 years
1008,เขตป้อมปราบศัตรูพ่าย,male,11,199,10,0 to 14 years
1001,เขตพระนคร,male,14,199,10,0 to 14 years
1012,เขตยานนาวา,female,81,199,80,65 years and older
1045,เขตวังทองหลาง,female,82,199,80,65 years and older
1018,เขตคลองสาน,female,81,198,80,65 years and older
1021,เขตบางขุนเทียน,male,79,198,75,65 years and older
1029,เขตบางซื่อ,male,85,198,85,65 years and older
1011,เขตลาดกระบัง,female,82,198,80,65 years and older
1039,เขตวัฒนา,female,86,198,85,65 years and older
1034,เขตสวนหลวง,female,84,198,80,65 years and older
1042,เขตสายไหม,female,87,198,85,65 years and older
1048,เขตทวีวัฒนา,female,0,197,0,0 to 14 years
1015,เขตธนบุรี,female,87,197,85,65 years and older
1020,เขตบางกอกน้อย,male,81,197,80,65 years and older
1007,เขตปทุมวัน,male,14,197,10,0 to 14 years
1008,เขตป้อมปราบศัตรูพ่าย,female,24,197,20,15 to 64 years
1008,เขตป้อมปราบศัตรูพ่าย,male,38,197,35,15 to 64 years
1037,เขตราชเทวี,male,74,197,70,65 years and older
1041,เขตหลักสี่,male,80,197,80,65 years and older
1018,เขตคลองสาน,female,83,196,80,65 years and older
1019,เขตตลิ่งชัน,female,85,196,85,65 years and older
1016,เขตบางกอกใหญ่,male,75,196,75,65 years and older
1047,เขตบางนา,female,83,196,80,65 years and older
1027,เขตบึงกุ่ม,female,86,196,85,65 years and older
1009,เขตพระโขนง,male,78,196,75,65 years and older
1001,เขตพระนคร,female,12,196,10,0 to 14 years
1045,เขตวังทองหลาง,female,84,196,80,65 years and older
1013,เขตสัมพันธวงศ์,female,68,196,65,65 years and older
1035,เขตจอมทอง,female,87,195,85,65 years and older
1002,เขตดุสิต,male,80,195,80,65 years and older
1002,เขตดุสิต,male,82,195,80,65 years and older
1050,เขตบางบอน,female,79,195,75,65 years and older
1008,เขตป้อมปราบศัตรูพ่าย,male,15,195,15,15 to 64 years
1001,เขตพระนคร,female,13,195,10,0 to 14 years
1001,เขตพระนคร,female,16,195,15,15 to 64 years
1045,เขตวังทองหลาง,male,79,195,75,65 years and older
1046,เขตคลองสามวา,female,82,194,80,65 years and older
1048,เขตทวีวัฒนา,male,76,194,75,65 years and older
1049,เขตทุ่งครุ,female,83,194,80,65 years and older
1029,เขตบางซื่อ,female,88,194,85,65 years and older
1004,เขตบางรัก,male,23,194,20,15 to 64 years
1008,เขตป้อมปราบศัตรูพ่าย,male,18,194,15,15 to 64 years
1009,เขตพระโขนง,male,0,194,0,0 to 14 years
1001,เขตพระนคร,female,14,194,10,0 to 14 years
1046,เขตคลองสามวา,male,79,193,75,65 years and older
1025,เขตบางพลัด,female,87,193,85,65 years and older
1001,เขตพระนคร,female,18,193,15,15 to 64 years
1035,เขตจอมทอง,male,82,192,80,65 years and older
