Indicator,Suburban,Housing Estate,High-rise,Urban,Crowded,Mean,Std Dev,Min,Max,Range
Can Speak Thai (%),98.52941176470588,100.0,98.52941176470588,98.94736842105263,98.9749430523918,98.99622700057124,0.5378165729125399,98.52941176470588,100.0,1.470588235294116
Can Read Thai (%),97.54901960784314,100.0,100.0,97.05263157894737,98.86104783599089,98.69253980455628,1.2201833231697654,97.05263157894737,100.0,2.94736842105263
Can Write Thai (%),97.54901960784314,96.15384615384616,100.0,96.84210526315789,98.17767653758543,97.74452951248652,1.3158746643538441,96.15384615384616,100.0,3.8461538461538396
Can Do Basic Math (%),99.01960784313727,96.15384615384616,100.0,98.94736842105263,97.60820045558086,98.34580457472337,1.3342409052470507,96.15384615384616,100.0,3.8461538461538396
No Schooling (%),1.9607843137254901,0.0,0.0,2.0,1.9362186788154898,1.179400598508196,0.9631914698893971,0.0,2.0,2.0
Higher Education (%),5.392156862745098,3.8461538461538463,4.411764705882353,10.631578947368421,6.264236902050115,6.109178252839967,2.4080184017184,3.8461538461538463,10.631578947368421,6.7854251012145745
Average Education Level,3.200980392156863,3.3076923076923075,3.6470588235294117,3.328421052631579,3.019362186788155,3.3007029525596634,0.20487886618691004,3.019362186788155,3.6470588235294117,0.6276966367412569
