Community Type,N Total,N Employed,N Unemployed,Employment Rate (%),Unemployment Rate (%),Formal Employment (%),Has Contract (%),Has Welfare (%),Vulnerable Employment (%),Unemployment Gap,Vulnerable Employment Gap
Bangkok Average (Full Survey),3510,2955,555,84.1880341880342,15.81196581196581,38.646362098138745,46.159052453468696,46.53130287648054,45.95600676818951,,
Suburban Community,208,160,48,76.92307692307693,23.076923076923077,16.25,22.5,19.375,74.375,7.264957264957266,28.41899323181049
Housing Estate,17,16,1,94.11764705882352,5.88235294117647,12.5,12.5,18.75,81.25,-9.929612870789342,35.29399323181049
High-rise/Condo,56,53,3,94.64285714285714,5.357142857142857,7.547169811320755,7.547169811320755,9.433962264150944,90.56603773584906,-10.454822954822955,44.610030967659554
Urban Community,620,535,85,86.29032258064517,13.709677419354838,11.588785046728972,15.887850467289718,17.75700934579439,77.94392523364486,-2.102288392610973,31.98791846545535
Crowded Community,644,523,121,81.2111801242236,18.788819875776397,13.957934990439771,15.86998087954111,19.50286806883365,78.58508604206502,2.9768540638105865,32.629079273875504
