District,N,Economic Security,Healthcare Access,Physical Environment,Social Context,Health Behaviors,Health Outcomes,Education
1001,19,65.36245435924839,44.73684210526316,54.16666666666666,91.67543859649123,68.73245614035086,28.289473684210527,51.8421052631579
1002,11,68.66766651284416,40.90909090909091,76.89393939393939,93.94696969696969,65.92424242424244,39.77272727272727,57.27272727272727
1003,20,65.04957698815568,46.66666666666667,57.708333333333336,90.0,62.92916666666666,33.125,49.75
1004,9,66.84762173340853,50.0,63.42592592592593,87.04629629629629,62.97222222222222,52.77777777777778,55.55555555555556
1005,32,64.6110934856176,44.270833333333336,37.890625,92.97135416666666,67.08854166666666,16.796875,38.4375
1006,17,67.80730566338211,41.1764705882353,59.31372549019608,88.72058823529412,59.799019607843135,33.088235294117645,55.588235294117645
1007,5,67.02199661590525,53.333333333333336,60.833333333333336,89.99999999999997,59.18333333333332,55.0,54.0
1008,12,63.536379018612514,44.444444444444436,63.888888888888886,93.76388888888887,45.50694444444445,25.0,62.5
1009,16,64.14392978003384,45.833333333333336,55.729166666666664,90.625,63.8125,53.125,45.3125
1010,16,61.270621827411176,30.208333333333336,53.125,88.55729166666666,61.203125,28.90625,37.5
1011,8,63.219120135363795,43.75,43.75,85.42708333333333,76.04166666666666,57.8125,29.375
1012,11,60.61036763574835,37.87878787878788,62.5,94.69696969696969,54.17424242424242,34.09090909090909,47.27272727272727
1013,3,58.333333333333336,44.44444444444445,48.611111111111114,83.30555555555556,55.583333333333336,50.0,63.333333333333336
1014,14,68.52791878172589,50.0,46.72619047619048,83.34523809523809,57.20238095238095,38.392857142857146,53.57142857142857
1015,4,76.87605752961083,54.16666666666667,56.25,83.3125,61.4375,78.125,81.25
1016,16,66.27802453468698,36.458333333333336,62.76041666666667,95.31770833333333,55.20833333333333,38.28125,53.4375
1017,18,65.00517014476407,34.25925925925927,60.18518518518518,81.49537037037038,67.12962962962962,25.0,45.27777777777778
1018,12,68.75930626057529,36.111111111111114,56.944444444444436,88.90277777777777,62.5,30.208333333333332,56.25
1019,17,62.3021797551508,34.31372549019608,61.519607843137265,92.16666666666666,57.107843137254896,39.705882352941174,63.8235294117647
1020,18,64.1990975747321,46.2962962962963,58.79629629629629,89.81944444444444,59.49074074074075,51.388888888888886,43.888888888888886
1021,20,64.07994923857869,45.0,49.166666666666664,96.25833333333333,60.62916666666666,28.125,45.25
1022,8,67.95833333333334,43.75,69.27083333333333,93.75,61.46875,26.5625,60.0
1023,9,64.25643918029705,38.888888888888886,75.0,90.74074074074073,38.416666666666664,50.0,56.666666666666664
1024,12,61.96418499717992,31.944444444444443,69.79166666666667,89.58333333333333,52.083333333333336,35.416666666666664,49.166666666666664
1025,10,64.12994923857867,36.66666666666667,76.25,99.16666666666666,60.416666666666664,43.75,40.0
1026,7,62.82934493594393,40.47619047619048,67.26190476190476,90.47619047619047,57.142857142857146,53.57142857142857,64.28571428571429
1027,7,66.1995407299976,52.38095238095239,73.80952380952382,91.69047619047618,61.904761904761905,53.57142857142857,62.857142857142854
1028,12,72.3879018612521,40.27777777777778,55.555555555555564,91.6875,61.833333333333336,60.416666666666664,63.333333333333336
1029,13,66.76428478458935,51.282051282051285,40.064102564102555,92.94871794871796,58.99358974358974,25.0,46.53846153846154
1030,12,68.64777213761984,38.88888888888889,68.74999999999999,94.45833333333333,62.86111111111111,30.208333333333332,52.083333333333336
1031,8,56.85279187817259,27.083333333333336,43.75,78.125,58.875,32.8125,40.0
1032,7,69.3437273386512,33.333333333333336,54.76190476190476,91.69047619047618,60.142857142857146,53.57142857142857,50.0
1033,21,62.52517927644831,30.952380952380953,45.03968253968254,86.51190476190476,52.607142857142854,26.785714285714285,48.57142857142857
1034,10,69.09475465313028,43.333333333333336,79.16666666666667,91.66666666666666,53.35,41.25,62.5
1035,10,63.63790186125211,33.333333333333336,72.08333333333334,89.17499999999998,66.675,31.25,42.0
1036,12,59.73456006768189,41.666666666666664,67.70833333333334,96.52777777777777,49.319444444444436,44.791666666666664,52.5
1037,21,66.11675126903556,49.2063492063492,45.039682539682545,92.07142857142858,56.960317460317455,45.833333333333336,44.523809523809526
1038,9,65.25098702763677,33.333333333333336,65.74074074074075,91.66666666666666,55.56481481481481,48.611111111111114,52.22222222222222
1039,10,70.87351945854483,43.333333333333336,53.75,86.69166666666666,66.24166666666666,70.0,62.5
1040,9,65.1297236322617,46.2962962962963,72.22222222222223,93.50925925925925,41.675925925925924,59.72222222222222,62.77777777777778
1041,20,66.01099830795263,35.833333333333336,58.125,95.42083333333332,60.65416666666666,31.875,56.25
1042,9,66.13555179545027,48.14814814814815,68.05555555555554,92.59259259259258,59.75,31.944444444444443,47.77777777777778
1043,14,61.48175006043026,21.428571428571427,73.80952380952382,86.92261904761905,60.73214285714285,39.285714285714285,61.785714285714285
1044,3,67.76649746192895,44.44444444444445,54.166666666666664,88.91666666666667,62.52777777777777,50.0,66.66666666666667
1045,18,69.01203233690545,37.03703703703704,56.01851851851852,87.0462962962963,59.74074074074073,44.44444444444444,57.77777777777778
1046,29,63.68708792811717,43.67816091954023,66.95402298850574,97.13505747126436,60.07758620689654,37.93103448275862,48.62068965517241
1047,9,62.22598232750517,27.77777777777778,73.61111111111113,87.97222222222223,58.78703703703703,68.05555555555556,62.77777777777778
1048,7,68.01426154218032,33.333333333333336,69.64285714285714,79.7738095238095,60.130952380952365,62.5,70.71428571428571
1049,15,70.5613649182177,35.55555555555556,76.1111111111111,94.43888888888888,56.67777777777778,56.666666666666664,63.0
1050,9,62.098138747884946,31.481481481481485,61.111111111111114,87.96296296296296,58.39814814814814,30.555555555555557,52.22222222222222
