Indicator,Suburban,Housing Estate,High-rise,Urban,Crowded,Mean,Std Dev,Min,Max,Range
Can Speak Thai (%),98.7878787878788,100.0,97.95918367346938,98.29302987197724,98.86759581881533,98.78153763042816,0.6938303292190995,97.95918367346938,100.0,2.040816326530617
Can Read Thai (%),90.9090909090909,97.05882352941177,100.0,95.87482219061167,96.0801393728223,95.98457520038734,2.9345992850527653,90.9090909090909,100.0,9.090909090909093
Can Write Thai (%),87.87878787878788,91.17647058823529,100.0,95.09246088193457,94.94773519163763,93.81909090811908,4.08337087334409,87.87878787878788,100.0,12.121212121212125
Can Do Basic Math (%),90.0,94.11764705882352,95.91836734693877,96.23044096728307,93.90243902439023,94.03377887948713,2.2213803860325343,90.0,96.23044096728307,6.230440967283073
No Schooling (%),2.727272727272727,2.941176470588235,0.0,2.204836415362731,4.181184668989547,2.410894056442648,1.3689480382993258,0.0,4.181184668989547,4.181184668989547
Higher Education (%),2.727272727272727,8.823529411764707,2.0408163265306123,14.65149359886202,5.2264808362369335,6.693918580133399,4.634592882003925,2.0408163265306123,14.65149359886202,12.610677272331408
Average Education Level,2.2333333333333334,3.264705882352941,2.5918367346938775,3.3470839260312943,2.576655052264808,2.802722985735251,0.43117080786424355,2.2333333333333334,3.3470839260312943,1.113750592697961
