Indicator,Suburban,Housing Estate,High-rise,Urban,Crowded,Mean,Std Dev,Min,Max,Range
Can Speak Thai (%),95.78947368421052,,100.0,93.36283185840708,95.34883720930233,96.12528568797998,2.416619751957849,93.36283185840708,100.0,6.637168141592923
Can Read Thai (%),75.78947368421053,,100.0,82.7433628318584,86.04651162790698,86.14483703599397,8.814459506315446,75.78947368421053,100.0,24.210526315789465
Can Write Thai (%),69.47368421052632,,100.0,78.31858407079646,80.46511627906978,82.06434614009814,11.144513412832408,69.47368421052632,100.0,30.526315789473685
Can Do Basic Math (%),73.68421052631578,,83.33333333333334,77.43362831858407,78.13953488372093,78.14767676548854,3.43960377015407,73.68421052631578,83.33333333333334,9.649122807017562
No Schooling (%),5.263157894736842,,0.0,7.964601769911504,10.232558139534884,5.8650794510458075,3.8158986683627574,0.0,10.232558139534884,10.232558139534884
Higher Education (%),1.0526315789473684,,33.33333333333333,10.619469026548673,3.255813953488372,12.065311973079435,12.779921549316414,1.0526315789473684,33.33333333333333,32.28070175438596
Average Education Level,2.210526315789474,,3.5,3.0486725663716814,2.311627906976744,2.767706697284475,0.5323657439405307,2.210526315789474,3.5,1.289473684210526
