Community Type,N,Economic Security Mean,Economic Security SD,Healthcare Access Mean,Healthcare Access SD,Physical Environment Mean,Physical Environment SD,Social Context Mean,Social Context SD,Health Behaviors Mean,Health Behaviors SD,Health Outcomes Mean,Health Outcomes SD,Education Mean,Education SD,Economic Security Gap,Healthcare Access Gap,Physical Environment Gap,Social Context Gap,Health Behaviors Gap,Health Outcomes Gap,Education Gap
Bangkok Average (All),4522,66.11658227171554,10.400052272200865,91.9246646026832,18.29812093788595,62.32308712958868,17.852311450971047,92.91968892820285,8.820558898974083,63.07485625829279,19.371614425172872,51.54798761609907,36.61476818157911,57.649270234409556,15.083354206506925,,,,,,,
ชุมชนชานเมือง,539,66.31880353331789,11.060849023249027,89.14656771799629,22.476141788136182,63.52040816326531,18.24864397530938,94.0199443413729,6.935964373731643,63.59508348794063,17.776891772486653,53.826530612244895,38.389730819123585,54.183673469387756,15.342485193346269,0.20222126160234666,-2.778096884686903,1.19732103367663,1.1002554131700606,0.520227229647837,2.2785429961458235,-3.4655967650218003
ชุมชนหมู่บ้านจัดสรร,51,68.79085295202616,7.234780131794202,93.13725490196079,15.697300046765045,68.62745098039215,18.659093351657855,94.93627450980392,8.983728937413186,60.214052287581694,20.74727729728758,53.92156862745098,37.37397122985723,57.549019607843135,13.28053270842732,2.674270680310613,1.2125902992775934,6.304363850803476,2.0165855816010776,-2.860803970711096,2.3735810113519094,-0.10025062656642092
ชุมชนอาคารสูง,105,68.88889104822225,11.686490298432371,95.71428571428571,16.017580390398596,63.650793650793645,10.295695614617218,96.82698412698413,7.69586392027864,57.621428571428574,21.538002554306285,64.88095238095238,35.697683870240574,61.476190476190474,13.245532801444385,2.772308776506705,3.7896211116025142,1.3277065212049664,3.9072951987812843,-5.453427686864217,13.332964764853308,3.8269202417809183
ชุมชนเมือง,2027,66.50016917245627,9.943284585396947,92.13122841637889,17.68513354831878,68.4920243381023,16.368094125296636,93.84287123828318,8.09584714871894,64.89302746258838,19.770061672855096,53.33621114948199,36.54447399425926,59.75579674395659,15.718308176738464,0.383586900740724,0.20656381369569488,6.1689372085136185,0.9231823100803354,1.818171204295588,1.7882235333829186,2.106526509547031
ชุมชนแออัด,1799,65.38586619285002,10.641126449825277,92.26422086344266,17.69814054954696,54.75958866036687,16.799264799133404,91.26991847322586,9.828915793147866,61.28858625162127,18.978646192306527,48.02668148971651,35.82799968376047,56.09783212896053,14.009903964368378,-0.7307160788655267,0.33955626075946554,-7.5634984692218055,-1.6497704549769878,-1.786270006671522,-3.5213061263825622,-1.551438105449023
