Indicator,Suburban,Housing Estate,High-rise,Urban,Crowded,Mean,Std Dev,Min,Max,Range
Can Speak Thai (%),100.0,,,100.0,98.7012987012987,99.56709956709956,0.6122136633649783,98.7012987012987,100.0,1.2987012987013031
Can Read Thai (%),100.0,,,97.82608695652173,100.0,99.27536231884058,1.024792436502245,97.82608695652173,100.0,2.173913043478265
Can Write Thai (%),100.0,,,98.91304347826086,98.7012987012987,99.20478072651986,0.5689107910902549,98.7012987012987,100.0,1.2987012987013031
Can Do Basic Math (%),100.0,,,97.82608695652173,97.40259740259741,98.40956145303971,1.137821582180503,97.40259740259741,100.0,2.597402597402592
No Schooling (%),0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Higher Education (%),12.5,,,35.869565217391305,24.675324675324674,24.348296630905327,9.543387068850484,12.5,35.869565217391305,23.369565217391305
Average Education Level,3.875,,,5.043478260869565,4.415584415584416,4.444687558817994,0.4774729355267142,3.875,5.043478260869565,1.1684782608695654
