Indicator,Bangkok Avg,Suburban Community,Housing Estate,High-rise/Condo,Urban Community,Crowded Community,Gap
Feels Unsafe (%),14.48719914149931,3.896103896103896,1.9607843137254901,1.9047619047619049,3.058707449432659,14.341300722623679,-9.454867484169785
Violence Experience (%),13.35275180131841,4.267161410018553,5.88235294117647,1.9047619047619049,2.1706956092747904,3.168426903835464,-9.874072047504974
Discrimination Experience (%),2.3302161582094127,1.855287569573284,0.0,0.9523809523809524,1.0360138135175136,0.44469149527515284,-1.472541392060032
No Social Support (%),9.58148091369002,1.855287569573284,5.88235294117647,1.9047619047619049,4.982733103108041,6.614785992217899,-5.3334966115225
