District,N,Economic Security,Healthcare Access,Physical Environment,Social Context,Health Behaviors,Health Outcomes,Education
1001,51,63.8577021333068,47.05882352941177,62.25490196078432,91.83169934640523,69.60947712418302,30.88235294117647,62.64705882352941
1002,52,69.28201874267864,50.0,77.40384615384616,96.32051282051283,72.12019230769229,40.38461538461539,61.82692307692308
1003,48,65.3785779751833,44.44444444444445,53.55902777777778,83.69618055555554,65.296875,51.302083333333336,55.416666666666664
1004,52,65.68316412859559,44.23076923076923,61.2179487179487,93.59134615384617,68.03205128205128,53.60576923076923,63.17307692307692
1005,40,64.25549915397633,40.0,70.625,91.88333333333333,63.65625,29.375,57.625
1006,43,63.91099043796482,40.310077519379846,56.68604651162791,90.69961240310076,62.11821705426357,27.906976744186046,53.48837209302326
1007,43,67.60614646047298,48.83720930232558,65.60077519379846,92.63759689922477,68.80038759689923,43.604651162790695,65.81395348837209
1008,54,65.59370495707212,40.74074074074074,65.66358024691358,92.141975308642,64.67283950617282,27.314814814814813,63.148148148148145
1009,101,64.31719187147142,47.02970297029703,59.90099009900989,87.2153465346534,63.00082508250825,42.945544554455445,56.73267326732673
1010,68,61.25926893600081,38.72549019607843,59.43627450980392,92.65563725490198,67.21936274509802,27.389705882352942,55.220588235294116
1011,42,66.07193215695753,44.44444444444444,52.67857142857143,88.890873015873,63.799603174603156,47.023809523809526,52.73809523809524
1012,47,65.02232062497748,47.87234042553192,58.42198581560286,96.09929078014183,62.68439716312057,26.595744680851062,50.0
1013,44,69.86077141978157,51.13636363636363,59.280303030303045,96.96780303030302,66.57007575757575,48.29545454545455,57.72727272727273
1014,62,67.9473009115223,45.69892473118279,35.81989247311829,84.94758064516127,62.18682795698924,21.975806451612904,50.88709677419355
1015,20,69.40778341793573,45.0,56.25,93.76666666666667,71.47083333333333,35.0,67.0
1016,59,68.54975766440106,50.282485875706215,71.045197740113,96.61299435028248,66.46186440677965,50.0,65.50847457627118
1017,57,65.47110161189777,45.02923976608188,61.25730994152047,87.28216374269003,61.244152046783626,38.59649122807018,50.78947368421053
1018,44,66.64543916320565,51.13636363636363,55.96590909090909,91.47727272727272,64.29924242424242,38.35227272727273,54.20454545454545
1019,34,66.9830297601274,42.64705882352941,67.6470588235294,94.36519607843137,62.02450980392156,59.19117647058823,63.529411764705884
1020,43,69.21449651753039,49.22480620155039,63.468992248062015,87.98643410852713,65.50968992248062,44.47674418604651,52.906976744186046
1021,46,64.73322666078127,51.81159420289855,54.16666666666667,98.3695652173913,64.32246376811595,45.65217391304348,48.369565217391305
1022,46,70.96935922901493,43.84057971014493,76.44927536231884,93.47826086956522,65.13043478260869,39.67391304347826,61.95652173913044
1023,60,67.96534122955443,48.333333333333336,81.45833333333334,96.1125,62.725,33.125,54.916666666666664
1024,58,62.482496061613865,42.81609195402298,72.05459770114943,91.96120689655173,67.45977011494253,39.87068965517241,57.58620689655172
1025,62,67.69622291359643,48.9247311827957,76.47849462365592,98.38709677419355,68.5510752688172,47.17741935483871,59.193548387096776
1026,60,67.32198251551043,50.27777777777778,78.40277777777777,98.6111111111111,71.53194444444445,47.083333333333336,56.583333333333336
1027,36,70.17214231998496,47.68518518518519,74.76851851851852,91.90277777777777,71.07638888888889,43.75,63.75
1028,62,64.28300856940123,43.01075268817204,62.7016129032258,96.24462365591398,61.76747311827956,44.556451612903224,50.403225806451616
1029,61,67.61601619927326,48.907103825136616,44.74043715846995,91.94125683060112,63.139344262295076,26.229508196721312,54.75409836065574
1030,63,67.53880965809901,46.560846560846564,68.78306878306879,95.50396825396825,68.19576719576719,43.45238095238095,55.0
1031,42,65.836717428088,46.82539682539683,48.80952380952381,84.32738095238093,59.228174603174594,22.321428571428573,48.57142857142857
1032,35,68.43606478124245,50.47619047619048,63.21428571428573,96.42857142857143,65.00238095238096,33.214285714285715,56.0
1033,38,62.82282482856889,42.10526315789474,44.627192982456144,81.36184210526316,46.95614035087719,34.53947368421053,53.026315789473685
1034,77,69.46046762036612,53.896103896103895,62.608225108225106,88.20454545454544,59.540043290043286,41.883116883116884,55.0
1035,61,64.457892984938,47.26775956284153,72.1311475409836,93.16803278688525,66.81147540983606,39.13934426229508,50.0
1036,48,67.99314368302312,51.38888888888889,69.44444444444444,96.875,61.90277777777777,56.510416666666664,61.770833333333336
1037,47,62.88659682471108,45.39007092198583,42.02127659574467,94.50709219858157,61.97872340425532,34.57446808510638,49.148936170212764
1038,85,65.639852692346,51.76470588235294,58.92156862745099,91.07843137254902,71.5235294117647,36.1764705882353,63.94117647058823
1039,39,69.18521410907196,50.85470085470085,50.64102564102565,99.78846153846153,58.32692307692308,63.782051282051285,54.35897435897436
1040,44,67.01180587601907,46.969696969696976,76.04166666666664,97.34848484848484,66.68560606060606,35.79545454545455,55.56818181818182
1041,57,66.79398581055007,45.02923976608188,65.5701754385965,96.64181286549707,65.00146198830409,35.526315789473685,63.07017543859649
1042,62,63.951940396266586,48.11827956989247,73.05107526881721,94.62500000000001,68.6236559139785,34.67741935483871,58.95161290322581
1043,50,68.62944162436548,50.66666666666667,74.66666666666667,92.50166666666667,66.76833333333333,47.5,69.8
1044,41,69.4121167099996,47.15447154471545,44.81707317073171,91.46544715447153,60.77845528455284,30.79268292682927,51.34146341463415
1045,79,67.00847094604727,45.358649789029535,58.122362869198305,90.93354430379748,66.99472573839662,32.91139240506329,56.32911392405063
1046,37,62.569899849087655,39.189189189189186,62.16216216216216,97.07657657657657,63.195945945945944,36.82432432432432,54.86486486486486
1047,55,65.68277188124904,44.84848484848485,84.24242424242425,93.63636363636364,68.6409090909091,33.63636363636363,64.45454545454545
1048,60,68.53282571912014,51.388888888888886,83.95833333333333,92.36111111111111,73.13055555555555,40.416666666666664,68.33333333333333
1049,60,64.9478285391991,38.88888888888889,84.65277777777779,98.19583333333334,71.46249999999999,51.458333333333336,64.66666666666667
1050,31,67.4731182795699,49.46236559139786,68.01075268817203,94.08602150537632,63.73118279569891,56.04838709677419,53.064516129032256
