Indicator,Bangkok Avg,District 1033,District 1003,District 1031,District 1014,District 1009,Gap
Feels Unsafe (%),7.712970069071373,52.63157894736842,2.083333333333333,73.80952380952381,67.74193548387096,0.0,31.540304245747933
Violence Experience (%),3.9140445126630854,2.631578947368421,22.916666666666664,2.380952380952381,3.225806451612903,8.91089108910891,4.09913459447877
Discrimination Experience (%),1.2279355333844972,0.0,41.66666666666667,0.0,0.0,0.0,7.105397799948837
No Social Support (%),4.834996162701458,13.157894736842104,2.083333333333333,0.0,1.6129032258064515,13.861386138613863,1.3081073242176924
